t,x,y,z,sum,frame
4240,-6.86,23,,,343
4251,-8.82,11,,,345
4274,-6.86,23,,,347
4286,-4.9,12,,,349
4302,-5.88,16,,,350
4318,-4.9,16,,,352
4335,-3.92,17,,,353
4353,-2.94,18,,,355
4371,-3.92,18,,,356
4384,-3.92,13,,,357
4401,-1.96,17,,,359
4418,-1.96,17,,,360
4433,-1.96,15,,,361
4451,-2.94,18,,,363
4467,-0.98,16,,,364
4490,-2.94,23,,,366
4502,-0.98,12,,,367
4518,-0.98,16,,,369
4535,0,17,,,370
4556,0.98,21,,,372
4568,-0.98,12,,,374
4582,0,14,,,376
4598,-0.98,16,,,377
4616,-0.98,18,,,379
4632,1.96,16,,,381
4649,-0.98,17,,,382
4667,0,18,,,383
4686,0.98,19,,,384
4695,0.98,9,,,386
4714,0,19,,,387
4725,0,11,,,388
4742,0.98,17,,,389
4758,0,16,,,391
4780,-1.96,22,,,392
4791,-0.98,11,,,393
4805,0,14,,,394
4823,0.98,18,,,396
4838,-0.98,15,,,398
4955,0,117,,,399
4960,0,5,,,400
4972,0,12,,,401
4975,-0.98,3,,,403
4976,0.98,1,,,404
4978,0,2,,,405
4984,2.94,6,,,406
5001,0,17,,,407
5014,0,13,,,409
5036,0,22,,,411
5045,0,9,,,412
5067,0,22,,,414
5080,-0.98,13,,,416
5095,0,15,,,418
5109,1.96,14,,,420
5126,0,17,,,421
5140,0.98,14,,,422
5161,-1.96,21,,,423
5179,0,18,,,424
5193,-0.98,14,,,425
5206,0,13,,,426
5220,0.98,14,,,427
5238,0.98,18,,,428
5253,0.98,15,,,430
5266,1.96,13,,,432
5282,1.96,16,,,433
5398,0,116,,,435
5401,-0.98,3,,,436
5403,0,2,,,438
5405,0,2,,,439
5408,0,3,,,440
5413,-0.98,5,,,441
5428,0,15,,,442
5445,-0.98,17,,,443
5465,0,20,,,445
5489,0,24,,,447
5501,0.98,12,,,448
5512,0,11,,,450
5522,1.96,10,,,451
5540,-1.96,18,,,452
5555,1.96,15,,,453
5571,0,16,,,454
5588,0,17,,,455
5603,0,15,,,457
5624,0,21,,,458
5633,0,9,,,459
5662,0.98,29,,,461
5668,2.94,6,,,463
5680,-0.98,12,,,464
5704,0,24,,,465
5712,0,8,,,467
5729,0,17,,,468
5743,-0.98,14,,,469
5761,0,18,,,470
5778,0.98,17,,,471
5792,0,14,,,472
5807,0.98,15,,,474
5823,-0.98,16,,,475
5840,0.98,17,,,476
5857,0,17,,,478
5873,0,16,,,480
5890,0,17,,,481
5905,0,15,,,482
5919,0,14,,,483
5933,-1.96,14,,,484
5949,-1.96,16,,,485
6073,-2.94,124,,,486
6074,-3.92,1,,,488
6076,-4.9,2,,,489
6085,-3.92,9,,,491
6095,-3.92,10,,,493
6096,-4.9,1,,,494
6118,-6.86,22,,,496
6122,-6.86,4,,,498
6145,-9.8,23,,,500
6157,-11.76,12,,,501
6179,-18.62,22,,,502
6194,-22.54,15,,,503
6209,-29.4,15,,,505
6230,-39.2,21,,,506
6248,-51.94,18,,,508
6263,-61.74,15,,,509
6291,-84.28,28,,,510
6300,-92.12,9,,,511
6315,-105.84,15,,,512
6337,-127.4,22,,,513
6355,-141.12,18,,,514
6377,-151.9,22,,,516
6393,-155.82,16,,,517
6410,-156.8,17,,,519
6428,-161.7,18,,,521
6448,-167.58,20,,,523
6471,-173.46,23,,,524
6484,-173.46,13,,,526
6502,-173.46,18,,,528
6525,-174.44,23,,,530
6543,-170.52,18,,,532
6563,-166.6,20,,,533
6577,-166.6,14,,,534
6600,-166.6,23,,,536
6620,-166.6,20,,,537
6634,-167.58,14,,,538
6652,-171.5,18,,,539
6671,-180.32,19,,,540
6690,-192.08,19,,,541
6709,-201.88,19,,,542
6727,-207.76,18,,,543
6746,-212.66,19,,,544
6768,-211.68,22,,,545
6785,-204.82,17,,,546
6804,-191.1,19,,,547
6822,-176.4,18,,,548
6841,-159.74,19,,,549
6859,-143.08,18,,,550
6877,-129.36,18,,,551
6895,-115.64,18,,,553
6914,-104.86,19,,,555
6933,-96.04,19,,,557
6958,-81.34,25,,,559
6970,-76.44,12,,,560
6986,-65.66,16,,,561
7005,-58.8,19,,,562
7034,-46.06,29,,,563
7040,-44.1,6,,,564
7057,-37.24,17,,,566
7078,-31.36,21,,,567
7092,-28.42,14,,,568
7111,-23.52,19,,,569
7135,-19.6,24,,,570
7154,-18.62,19,,,572
