1100,18.7,2,-1,-16,-13,2
1103,18.7,2,2,0,0,3
1108,19.8,3,1,1,3,4
1143,20.9,4,1,0,3,6
1177,20.9,2,1,1,2,7
1211,18.7,2,1,1,2,8
1246,20.9,2,0,0,2,9
1280,19.8,2,2,1,1,11
1315,20.9,0,1,0,-1,13
1352,19.8,3,2,0,1,15
1388,19.8,3,1,14,16,16
1425,18.7,2,0,0,2,17
1461,18.7,3,0,-1,2,19
1497,19.8,1,-1,-1,1,21
1534,18.7,3,-14,0,17,23
1573,18.7,2,-1,-1,2,24
1610,19.8,3,0,-1,2,25
1647,19.8,1,-1,-2,0,27
1684,18.7,3,0,1,4,29
1719,19.8,3,-1,0,4,30
1755,19.8,3,-1,0,4,31
1792,19.8,2,-1,0,3,32
1828,18.7,1,0,-1,0,33
1864,19.8,2,1,15,16,34
1902,18.7,3,2,15,16,35
1939,18.7,1,0,0,1,36
1975,18.7,2,1,-1,0,37
2011,19.8,2,0,-1,1,38
2048,19.8,5,1,1,5,39
2082,19.8,2,1,0,1,40
2118,20.9,2,1,0,1,42
2154,18.7,2,15,1,-12,44
2192,18.7,3,-1,0,4,46
2229,19.8,2,1,0,1,48
2264,19.8,2,-1,0,3,50
2300,17.6,4,-1,1,6,51
2337,18.7,1,2,0,-1,52
2373,20.9,2,0,0,2,53
2409,19.8,2,1,1,2,55
2444,19.8,2,3,0,-1,56
2480,18.7,1,15,1,-13,57
2519,18.7,1,15,1,-13,58
2557,19.8,3,1,1,3,60
2592,19.8,3,0,0,3,61
2628,18.7,2,1,15,16,62
2665,19.8,2,0,-2,0,63
2702,18.7,2,0,-1,1,64
2738,18.7,1,0,1,2,65
2774,18.7,3,-15,-1,17,66
2812,19.8,3,1,0,2,67
2848,19.8,1,3,0,-2,68
2885,19.8,3,-16,-1,18,69
2924,18.7,2,-1,0,3,70
2961,19.8,1,1,0,0,71
2996,18.7,2,0,15,17,72
3034,19.8,2,1,0,1,73
3069,18.7,3,1,1,3,74
3104,19.8,2,1,2,3,76
3139,19.8,2,0,1,3,78
3275,18.7,0,0,0,0,79
3278,17.6,3,0,0,3,80
3281,19.8,1,1,0,0,81
3315,18.7,2,1,-1,0,83
3352,18.7,3,0,0,3,85
3387,18.7,2,-1,1,4,86
3423,18.7,2,0,-1,1,87
3460,18.7,1,14,0,-13,88
3497,19.8,2,-1,-1,2,89
3535,19.8,3,1,-2,0,90
3572,18.7,3,-13,-1,15,91
3612,19.8,1,-2,0,3,93
3648,18.7,2,1,0,1,94
3683,18.7,3,1,0,2,95
3719,18.7,2,-1,0,3,96
3755,19.8,3,0,0,3,97
3790,18.7,2,2,1,1,98
3825,18.7,2,2,0,0,100
3862,19.8,5,-1,1,7,102
3899,19.8,1,0,0,1,104
3936,19.8,2,1,0,1,106
3972,18.7,2,1,1,2,108
4008,19.8,1,1,0,0,110
4045,18.7,3,0,-1,2,112
4082,19.8,3,-1,0,4,114
4120,19.8,2,-1,-1,2,116
4158,20.9,2,1,0,1,118
4195,19.8,2,-1,-1,2,120
4233,18.7,3,0,1,4,122
4270,19.8,1,1,0,0,124
4305,18.7,3,1,0,2,126
4343,18.7,3,0,1,4,127
4379,19.8,2,1,15,16,128
4418,18.7,2,-1,0,3,129
4455,18.7,1,15,0,-14,130
4494,19.8,2,0,-1,1,132
4532,20.9,4,-16,0,20,134
4571,20.9,3,1,0,2,136
4608,18.7,1,0,0,1,138
4644,19.8,2,-16,-1,17,140
4684,18.7,3,-2,-16,-11,141
4726,210.1,3,1,3,5,142
4763,18.7,2,-1,1,4,143
4801,18.7,2,-1,0,3,144
4838,19.8,3,0,1,4,145
4875,19.8,3,0,0,3,147
4912,19.8,1,0,-1,0,148
4948,18.7,3,1,0,2,149
4985,20.9,4,-1,0,5,150
5022,18.7,2,0,0,2,151
5059,19.8,2,1,1,2,152
5095,19.8,1,1,0,0,153
5132,19.8,3,-1,0,4,154
5169,18.7,2,1,-2,-1,155
5208,18.7,2,3,1,0,156
5244,18.7,1,1,1,1,157
5280,19.8,3,0,0,3,158
5317,19.8,2,-1,1,4,160
5354,19.8,3,0,-1,2,162
5392,19.8,3,1,-1,1,163
5429,19.8,3,1,1,3,165
5466,20.9,3,1,1,3,167
5501,17.6,3,0,0,3,169
5538,18.7,2,2,0,0,171
5575,19.8,2,0,-1,1,173
5612,18.7,3,1,-16,-14,175
5653,18.7,1,2,1,0,177
5689,19.8,2,0,0,2,179
5726,18.7,3,0,0,3,181
5762,20.9,2,15,0,-13,183
5801,18.7,1,1,0,0,185
5937,18.7,3,0,0,3,186
5941,19.8,2,-2,-15,-11,187
5949,18.7,3,3,-1,-1,188
5988,19.8,3,0,-1,2,189
6025,18.7,2,-1,-2,1,190
6064,18.7,3,0,0,3,191
6099,18.7,1,15,2,-12,192
6139,19.8,2,1,1,2,193
6175,20.9,2,1,0,1,194
6212,18.7,1,1,-1,-1,195
6250,18.7,1,1,-1,-1,196
6290,19.8,3,0,-1,2,198
6327,19.8,2,0,0,2,200
6363,19.8,2,1,1,2,201
6400,19.8,3,0,-1,2,202
6436,18.7,3,2,0,1,203
6473,18.7,2,0,-1,1,204
6510,18.7,2,1,-1,0,205
6548,18.7,2,1,0,1,206
6585,19.8,3,1,-1,1,207
6622,19.8,2,1,-1,0,208
6660,18.7,1,-14,0,15,209
6700,19.8,3,2,0,1,210
6735,18.7,2,1,0,1,211
6771,19.8,0,0,-1,-1,212
6810,19.8,3,0,-3,0,213
6847,18.7,2,0,1,3,214
6884,19.8,3,1,0,2,215
6921,19.8,-2,1,0,-3,216
6959,19.8,5,1,0,4,217
6995,17.6,3,1,0,2,218
7031,19.8,3,15,0,-12,219
7071,19.8,3,1,-1,1,220
7109,18.7,2,0,1,3,221
7145,19.8,3,0,-2,1,222
7183,19.8,2,1,2,3,223
7219,19.8,3,0,0,3,224
7256,19.8,2,1,1,2,225
7291,17.6,2,2,1,1,226
7328,18.7,3,2,0,1,228
7364,19.8,2,3,-1,-2,229
7403,19.8,2,1,15,16,231
7441,19.8,2,1,-16,-15,232
7483,19.8,3,2,1,2,234
7519,19.8,2,0,0,2,235
7555,19.8,4,1,0,3,236
7591,19.8,2,0,2,4,237
7627,18.7,1,0,15,16,238
7666,18.7,3,15,-1,-13,239
7707,19.8,2,0,0,2,241
7744,19.8,3,3,1,1,243
7779,19.8,2,1,0,1,244
7816,18.7,3,0,0,3,245
7853,19.8,2,-15,0,17,246
7891,19.8,3,3,-1,-1,247
7930,19.8,3,0,0,3,249
7967,19.8,1,2,1,0,251
8003,18.7,2,0,1,3,252
8040,19.8,4,-1,-1,4,253
8078,17.6,3,-1,-1,3,254
8117,19.8,3,-1,-1,3,256
8156,18.7,2,0,1,3,257
8192,19.8,4,0,-1,3,259
8229,18.7,2,0,1,3,261
8265,18.7,0,0,1,1,262
8301,18.7,2,0,0,2,263
8338,19.8,2,2,-1,-1,264
8376,19.8,2,2,0,0,265
8413,19.8,3,0,1,4,266
8450,19.8,3,1,1,3,267
8485,19.8,1,2,1,0,268
8522,19.8,2,1,0,1,269
8558,19.8,3,1,0,2,270
8595,19.8,3,0,-1,2,271
8632,18.7,2,1,0,1,272
8669,18.7,1,2,0,-1,273
8706,19.8,3,1,0,2,274
8742,19.8,1,1,0,0,275
8779,19.8,3,15,-1,-13,276
8819,18.7,1,2,1,0,277
8856,18.7,2,2,-1,-1,278
8894,18.7,2,0,1,3,279
8931,19.8,1,-1,0,2,280
8968,17.6,2,0,0,2,281
9005,19.8,4,1,2,5,282
9040,18.7,2,1,1,2,283
9077,19.8,4,1,1,4,284
9114,19.8,2,0,0,2,285
9150,18.7,2,1,2,3,286
9187,18.7,2,-1,-3,0,288
9225,18.7,2,1,-15,-14,289
9266,19.8,2,1,0,1,291
9302,18.7,3,1,0,2,292
9338,19.8,3,1,0,2,293
9374,18.7,1,1,0,0,294
9411,18.7,3,2,0,1,295
9448,19.8,2,1,0,1,297
9484,19.8,1,0,0,1,299
9521,20.9,3,-1,0,4,301
9558,19.8,2,1,-1,0,303
