Starting!
t,x,y,z,sum,frame
4568,1.96,0.00,0.00,1.96,200
4595,1.96,0.00,0.00,1.96,201
4626,3.92,0.98,0.00,2.94,203
4657,1.96,1.96,0.00,0.00,205
4689,0.98,0.00,0.00,0.98,206
4717,0.98,-1.96,0.98,3.92,207
4748,2.94,-1.96,-0.98,3.92,208
4784,0.98,1.96,0.98,0.00,209
4811,1.96,0.00,0.00,1.96,210
4842,2.94,0.00,0.00,2.94,211
4871,2.94,0.00,-0.98,1.96,213
4901,2.94,0.00,-0.98,1.96,215
4936,1.96,0.00,0.98,2.94,216
4963,2.94,0.00,0.00,2.94,218
4994,2.94,0.00,-0.98,1.96,220
5024,2.94,0.98,-0.98,0.98,221
5061,1.96,0.98,-0.98,0.00,223
5088,1.96,0.98,0.98,1.96,225
5121,1.96,-0.98,0.98,3.92,226
5155,1.96,0.00,0.00,1.96,228
5179,0.98,1.96,-0.98,-1.96,229
5217,0.98,2.94,0.00,-1.96,231
5244,1.96,0.00,-1.96,0.00,232
5276,2.94,0.00,0.98,3.92,233
5303,2.94,0.00,0.98,3.92,234
5335,1.96,1.96,0.00,0.00,235
5371,0.00,1.96,0.00,-1.96,236
5397,1.96,0.00,0.00,1.96,237
5430,2.94,0.00,-1.96,0.98,239
5457,0.98,1.96,0.00,-0.98,241
5487,1.96,0.00,-0.98,0.98,243
5521,0.98,0.98,0.98,0.98,244
5549,2.94,0.98,0.00,1.96,245
5579,1.96,-0.98,-0.98,1.96,246
5612,0.98,0.98,0.00,0.00,248
5643,0.98,-0.98,0.00,1.96,249
5679,1.96,2.94,0.00,-0.98,250
5709,1.96,0.00,0.98,2.94,251
5735,1.96,0.98,-0.98,0.00,253
5766,3.92,0.00,0.98,4.90,254
5796,1.96,0.98,0.00,0.98,255
5841,2.94,-0.98,0.00,3.92,256
5858,1.96,0.00,0.98,2.94,257
5889,0.98,0.98,-1.96,-1.96,259
5919,-1.96,0.98,-0.98,-3.92,261
5956,0.98,2.94,0.00,-1.96,262
5987,0.98,0.00,0.00,0.98,264
6014,1.96,1.96,-0.98,-0.98,265
6047,1.96,1.96,0.00,0.00,267
6079,0.98,0.00,0.00,0.98,268
6106,2.94,0.00,-0.98,1.96,270
6138,1.96,0.00,1.96,3.92,271
6169,1.96,0.00,0.98,2.94,273
6203,0.98,1.96,-2.94,-3.92,275
6231,1.96,0.00,0.00,1.96,276
6260,2.94,1.96,-0.98,-0.00,277
6292,1.96,0.98,0.00,0.98,279
6323,2.94,0.00,0.98,3.92,281
6353,2.94,-0.98,0.98,4.90,283
6384,2.94,-0.98,0.98,4.90,284
6415,2.94,-0.98,0.98,4.90,285
6448,1.96,0.00,0.00,1.96,287
6478,0.00,0.00,0.00,0.00,288
6508,1.96,0.98,0.00,0.98,289
6537,0.98,0.98,0.00,0.00,291
6576,0.98,0.00,0.00,0.98,293
6600,0.98,0.98,0.98,0.98,294
6628,1.96,0.00,-0.98,0.98,295
6659,1.96,-1.96,0.98,4.90,296
6692,1.96,0.00,-0.98,0.98,297
6730,2.94,0.00,-0.98,1.96,298
6752,1.96,1.96,0.00,0.00,299
6789,2.94,2.94,0.00,0.00,300
6815,2.94,-0.98,0.00,3.92,301
6942,2.94,-0.98,0.00,3.92,302
6945,2.94,-0.98,0.00,3.92,303
6948,1.96,-1.96,0.00,3.92,305
6970,1.96,0.98,0.00,0.98,307
7001,1.96,-1.96,0.00,3.92,309
7031,1.96,0.98,-0.98,0.00,310
7065,-12.74,-0.98,0.98,-10.78,311
7099,2.94,0.98,-0.98,0.98,312
7130,2.94,0.00,0.00,2.94,313
7162,2.94,-0.98,0.98,4.90,315
7193,3.92,-0.98,0.00,4.90,316
7225,2.94,1.96,0.00,0.98,317
7254,1.96,0.00,-0.98,0.98,318
7285,2.94,0.98,0.00,1.96,320
7317,0.00,0.98,0.00,-0.98,321
7345,2.94,0.98,0.98,2.94,323
7375,0.98,0.00,0.98,1.96,325
7411,0.98,0.00,-0.98,0.00,326
7439,1.96,-0.98,0.98,3.92,328
7473,0.98,0.98,0.98,0.98,329
7501,2.94,1.96,0.00,0.98,330
7529,1.96,0.00,0.00,1.96,331
7562,2.94,0.00,0.00,2.94,332
7588,1.96,0.98,-0.98,0.00,334
7620,2.94,1.96,-0.98,-0.00,335
7651,2.94,1.96,-0.98,-0.00,336
7686,3.92,2.94,0.00,0.98,337
7715,0.98,0.98,0.00,0.00,338
7745,2.94,0.00,0.98,3.92,340
7781,0.98,0.00,0.98,1.96,342
7813,1.96,0.00,-1.96,0.00,344
7840,1.96,0.00,0.00,1.96,345
7869,2.94,0.00,0.98,3.92,346
7897,1.96,1.96,0.00,0.00,347
7926,0.98,0.98,1.96,1.96,349
7957,2.94,1.96,0.00,0.98,350
7987,2.94,-0.98,0.98,4.90,351
8020,2.94,0.98,0.98,2.94,352
8053,1.96,-0.98,0.00,2.94,353
8083,2.94,0.98,0.98,2.94,354
8112,2.94,0.98,0.00,1.96,355
8140,0.00,0.00,0.00,0.00,356
8179,3.92,0.98,0.00,2.94,357
8201,2.94,0.98,0.00,1.96,358
8229,1.96,0.00,-0.98,0.98,359
8260,1.96,0.00,-0.98,0.98,360
8293,0.98,0.98,0.00,0.00,362
8324,1.96,1.96,0.00,0.00,364
8353,1.96,0.98,0.00,0.98,365
8384,1.96,0.00,0.00,1.96,366
8413,2.94,0.00,0.98,3.92,368
8444,1.96,0.00,0.98,2.94,369
8478,1.96,0.98,0.00,0.98,370
8504,1.96,0.00,0.00,1.96,371
8538,0.98,2.94,-0.98,-2.94,372
8566,1.96,0.00,0.00,1.96,374
8601,0.98,0.98,-0.98,-0.98,375
8628,3.92,0.00,0.00,3.92,376
8665,1.96,0.98,-0.98,0.00,377
8691,1.96,0.00,0.00,1.96,379
8727,1.96,0.00,0.00,1.96,380
8750,2.94,0.98,0.98,2.94,382
8787,2.94,0.98,0.00,1.96,383
8810,1.96,0.98,0.98,1.96,384
8841,2.94,0.00,0.98,3.92,385
8871,2.94,0.00,0.00,2.94,386
8903,0.00,1.96,0.00,-1.96,388
8934,3.92,1.96,0.98,2.94,390
8965,2.94,-0.98,0.00,3.92,391
8993,1.96,-0.98,0.98,3.92,393
9025,0.98,1.96,0.00,-0.98,394
9057,2.94,0.98,0.98,2.94,396
9090,1.96,0.98,0.98,1.96,397
9118,2.94,0.00,0.00,2.94,398
9147,2.94,0.98,-1.96,-0.00,400
9181,3.92,0.98,0.00,2.94,401
9208,2.94,0.00,0.00,2.94,402
9239,0.00,0.98,0.98,0.00,403
9273,2.94,0.98,0.00,1.96,404
9300,0.00,0.00,0.00,0.00,406
9331,1.96,0.00,0.00,1.96,407
9363,2.94,-1.96,0.00,4.90,409
9392,2.94,0.98,0.00,1.96,411
9435,2.94,0.98,0.00,1.96,413
9452,0.00,-1.96,-0.98,0.98,414
9484,1.96,0.00,-0.98,0.98,416
9518,1.96,0.98,0.98,1.96,417
9545,1.96,0.98,0.00,0.98,418
9579,2.94,0.00,0.98,3.92,419
9606,1.96,-0.98,0.00,2.94,420
9639,3.92,0.98,-0.98,1.96,421
9667,0.98,1.96,0.00,-0.98,423
9699,0.98,0.00,0.00,0.98,424
9734,1.96,0.00,0.00,1.96,426
9761,1.96,-0.98,0.98,3.92,427
9797,0.00,1.96,0.00,-1.96,428
9823,1.96,0.00,-0.98,0.98,429
9852,0.98,1.96,0.98,0.00,430
9882,1.96,0.00,0.00,1.96,431
9913,1.96,0.98,0.00,0.98,432
9947,1.96,0.98,0.00,0.98,433
9986,2.94,0.00,0.98,3.92,434
10005,3.92,0.98,0.98,3.92,435
10035,2.94,-0.98,0.00,3.92,437
10068,1.96,0.00,-0.98,0.98,438
10102,1.96,0.00,0.00,1.96,439
10138,1.96,0.98,-0.98,0.00,440
10261,1.96,0.98,-0.98,0.00,441
10264,1.96,0.98,-0.98,0.00,442
10270,0.98,0.00,0.98,1.96,444
10292,1.96,0.00,0.00,1.96,445
10322,2.94,0.98,0.98,2.94,446
10354,0.98,0.00,0.98,1.96,448
10385,1.96,-0.98,-0.98,1.96,449
10421,0.98,1.96,0.98,0.00,450
10455,1.96,1.96,0.98,0.98,451
10483,2.94,0.98,0.98,2.94,452
10517,2.94,0.98,0.00,1.96,453
10543,2.94,0.00,0.00,2.94,454
10576,1.96,0.98,0.98,1.96,455
10609,1.96,1.96,0.00,0.00,456
10636,0.98,0.00,0.00,0.98,457
10670,1.96,0.98,-0.98,0.00,459
10803,0.98,1.96,0.98,0.00,460
10809,0.00,0.98,-1.96,-2.94,461
10811,1.96,0.98,0.00,0.98,462
10833,2.94,0.98,0.00,1.96,463
10864,0.98,0.98,0.00,0.00,464
10908,0.98,0.00,0.98,1.96,465
10927,0.98,0.00,0.98,1.96,466
10957,1.96,1.96,0.98,0.98,467
11016,0.98,-0.98,0.00,1.96,469
11022,3.92,0.98,0.98,3.92,470
11056,3.92,0.98,0.98,3.92,471
11086,2.94,1.96,0.00,0.98,472
11115,0.98,0.00,0.98,1.96,473
11154,1.96,-0.98,0.00,2.94,475
11177,2.94,0.00,0.98,3.92,476
11208,1.96,-0.98,0.00,2.94,477
11243,1.96,1.96,0.00,0.00,478
11277,1.96,2.94,0.00,-0.98,479
11314,1.96,-0.98,0.00,2.94,480
11340,2.94,0.00,-0.98,1.96,481
11380,1.96,0.98,0.98,1.96,482
11406,3.92,0.00,0.00,3.92,483
11436,1.96,0.00,-0.98,0.98,484
11464,1.96,0.00,0.00,1.96,485
11496,2.94,1.96,0.00,0.98,486
11526,2.94,1.96,0.00,0.98,487
11557,2.94,1.96,0.98,1.96,488
11589,1.96,2.94,0.00,-0.98,489
11621,0.98,0.98,0.98,0.98,490
11653,1.96,0.00,-0.98,0.98,492
11684,2.94,0.98,0.00,1.96,493
11718,0.98,0.98,0.00,0.00,494
11754,4.90,0.98,-0.98,2.94,496
11783,1.96,0.98,-1.96,-0.98,497
11813,3.92,-0.98,0.00,4.90,498
11845,1.96,0.00,0.00,1.96,499
11876,2.94,0.00,0.00,2.94,500
11917,2.94,0.00,0.98,3.92,501
11939,1.96,0.00,-0.98,0.98,502
11971,2.94,-0.98,-0.98,2.94,504
12005,0.98,0.00,0.00,0.98,505
12035,2.94,0.98,0.00,1.96,507
12065,2.94,-0.98,0.00,3.92,508
12108,2.94,0.98,0.98,2.94,509
12143,1.96,0.00,0.98,2.94,510
12161,1.96,0.00,0.00,1.96,511
12195,2.94,1.96,0.98,1.96,512
12228,0.98,2.94,0.00,-1.96,513
12258,2.94,0.00,0.00,2.94,514
12286,2.94,-0.98,0.98,4.90,516
12325,1.96,0.00,-1.96,0.00,517
12352,1.96,-0.98,0.00,2.94,518
12384,0.98,0.00,-0.98,0.00,520
12420,0.98,-0.98,0.98,2.94,522
12448,2.94,0.00,0.00,2.94,524
12478,1.96,1.96,0.00,0.00,525
12514,1.96,0.00,-0.98,0.98,526
12545,2.94,0.98,0.00,1.96,527
12575,1.96,-0.98,0.00,2.94,529
12605,1.96,0.98,0.00,0.98,531
12638,2.94,-0.98,0.98,4.90,532
12674,1.96,0.00,0.00,1.96,533
12702,2.94,0.98,-1.96,-0.00,534
12734,3.92,0.00,0.98,4.90,535
12765,2.94,0.98,0.00,1.96,536
12801,0.98,0.98,1.96,1.96,538
12829,2.94,0.00,0.00,2.94,539
12858,1.96,-0.98,0.00,2.94,540
12892,0.00,0.00,0.98,0.98,542
12922,0.98,0.98,0.00,0.00,543
12953,1.96,-0.98,0.00,2.94,544
12985,2.94,0.00,0.00,2.94,545
13019,2.94,0.98,-0.98,0.98,546
13049,4.90,0.98,0.98,4.90,547
13083,2.94,0.00,-0.98,1.96,548
13115,3.92,0.98,0.98,3.92,550
13145,1.96,0.98,-0.98,0.00,551
13176,1.96,0.98,0.98,1.96,552
13207,1.96,-0.98,0.00,2.94,553
13241,2.94,0.00,-0.98,1.96,555
13275,1.96,0.98,0.00,0.98,557
13303,1.96,-0.98,0.00,2.94,559
13337,1.96,0.98,0.98,1.96,561
13366,1.96,0.00,0.00,1.96,563
13396,0.98,0.00,0.98,1.96,564
13536,2.94,1.96,-0.98,-0.00,565
13541,2.94,0.00,-2.94,0.00,566
13543,0.98,1.96,0.98,0.00,567
13573,2.94,0.00,-0.98,1.96,568
13599,2.94,0.98,0.00,1.96,570
13630,3.92,0.00,0.98,4.90,571
13661,2.94,0.00,1.96,4.90,572
13693,0.98,0.98,0.00,0.00,574
13727,0.98,1.96,0.00,-0.98,575
13756,0.98,0.00,0.00,0.98,577
13790,2.94,0.98,0.00,1.96,578
13820,2.94,0.98,-1.96,-0.00,579
13852,3.92,1.96,0.00,1.96,580
13885,0.98,0.00,0.00,0.98,582
13914,2.94,0.98,0.00,1.96,584
13949,2.94,-1.96,-0.98,3.92,585
13979,2.94,0.98,0.00,1.96,586
14010,2.94,0.00,0.00,2.94,587
14051,1.96,0.00,0.98,2.94,588
14170,1.96,0.00,0.98,2.94,589
14172,1.96,0.00,0.98,2.94,590
14175,1.96,0.00,0.98,2.94,591
14202,1.96,0.98,0.00,0.98,593
14230,1.96,0.00,0.00,1.96,594
14261,2.94,0.00,0.00,2.94,595
14292,2.94,0.00,0.98,3.92,597
14323,0.98,0.98,-1.96,-1.96,598
14359,0.98,-0.98,0.00,1.96,599
14392,2.94,0.00,-0.98,1.96,600
14425,1.96,1.96,0.00,0.00,602
14460,1.96,1.96,0.00,0.00,604
14493,2.94,0.98,-0.98,0.98,605
14518,2.94,1.96,0.98,1.96,606
14547,2.94,1.96,0.00,0.98,607
14577,1.96,0.98,0.00,0.98,609
14610,1.96,0.00,0.00,1.96,610
14642,2.94,0.98,-0.98,0.98,611
14672,0.00,0.98,0.00,-0.98,612
14715,1.96,0.98,2.94,3.92,613
14738,0.00,0.00,0.98,0.98,614
14766,0.00,0.00,0.98,0.98,615
14799,2.94,-0.98,0.00,3.92,617
14830,1.96,0.98,0.98,1.96,618
14862,1.96,1.96,0.00,0.00,620
14893,1.96,0.00,0.00,1.96,621
14923,2.94,0.00,-0.98,1.96,622
14956,2.94,0.98,0.00,1.96,623
14989,1.96,0.00,-0.98,0.98,625
15022,1.96,0.00,0.98,2.94,626
15057,0.98,0.00,0.00,0.98,627
15084,1.96,0.00,0.00,1.96,628
15115,1.96,-0.98,0.00,2.94,629
15164,2.94,0.98,-0.98,0.98,630
15177,1.96,0.00,0.98,2.94,631
15211,2.94,0.98,-0.98,0.98,632
15242,2.94,0.00,0.98,3.92,633
15277,1.96,0.00,-0.98,0.98,634
15304,1.96,-0.98,0.00,2.94,635
15337,1.96,0.98,0.98,1.96,637
15368,1.96,0.98,0.98,1.96,638
15401,1.96,2.94,0.98,0.00,639
15430,1.96,-0.98,0.98,3.92,641
15464,2.94,0.00,-0.98,1.96,642
15495,2.94,1.96,0.00,0.98,644
15526,1.96,0.00,-0.98,0.98,645
15559,1.96,0.98,-0.98,0.00,646
15594,0.98,0.98,0.98,0.98,647
15628,1.96,0.98,0.00,0.98,648
15653,0.00,0.98,0.00,-0.98,649
15686,3.92,0.00,0.00,3.92,651
15717,0.98,0.00,0.98,1.96,652
15747,1.96,0.00,-0.98,0.98,653
15781,0.00,0.00,0.00,0.00,654
15823,4.90,-0.98,0.98,6.86,656
15843,4.90,-0.98,0.98,6.86,658
15878,0.98,0.98,-0.98,-0.98,659
15908,2.94,0.00,0.98,3.92,660
15941,0.98,0.00,-0.98,0.00,661
15972,0.98,0.00,0.00,0.98,662
16005,2.94,0.98,-0.98,0.98,664
16040,1.96,0.98,-0.98,0.00,665
16068,1.96,-0.98,0.00,2.94,666
16106,1.96,0.98,0.98,1.96,667
16131,0.98,0.00,-0.98,0.00,669
16168,2.94,0.98,0.98,2.94,670
16197,1.96,0.98,0.00,0.98,671
16248,1.96,0.00,0.00,1.96,672
16263,3.92,0.00,-1.96,1.96,673
16290,3.92,0.00,-1.96,1.96,674
16331,2.94,0.98,0.98,2.94,675
16355,1.96,0.98,0.98,1.96,676
16384,1.96,0.98,0.00,0.98,677
16421,1.96,0.98,0.98,1.96,679
16447,3.92,-0.98,0.00,4.90,680
16489,2.94,0.00,0.00,2.94,681
16513,3.92,0.00,0.98,4.90,682
16541,2.94,0.00,0.98,3.92,683
16576,1.96,0.00,0.98,2.94,685
16605,3.92,0.00,0.98,4.90,687
16634,1.96,-1.96,0.00,3.92,688
16667,1.96,0.00,0.98,2.94,690
16698,2.94,-0.98,-0.98,2.94,691
16731,1.96,0.98,0.98,1.96,693
16763,2.94,-0.98,0.00,3.92,694
16795,0.98,0.98,-1.96,-1.96,695
16927,0.98,0.98,-1.96,-1.96,696
16930,0.98,0.98,-1.96,-1.96,697
16933,1.96,0.98,0.98,1.96,698
16959,1.96,0.00,-0.98,0.98,699
16992,0.98,0.00,0.98,1.96,701
17123,0.98,0.98,0.98,0.98,702
17126,0.98,-1.96,-0.98,1.96,703
17135,3.92,-0.98,0.00,4.90,704
17159,1.96,0.00,-0.98,0.98,705
17186,3.92,0.00,-0.98,2.94,706
17234,4.90,-0.98,0.98,6.86,708
17253,1.96,0.00,-0.98,0.98,709
17284,1.96,0.98,0.00,0.98,710
17315,0.98,0.00,0.00,0.98,711
17348,1.96,0.00,0.98,2.94,713
17379,1.96,-2.94,0.00,4.90,714
17411,1.96,1.96,-0.98,-0.98,715
17447,0.98,-1.96,0.00,2.94,717
17475,-0.98,-0.98,-0.98,-0.98,718
17513,1.96,2.94,0.98,0.00,719
17542,0.98,0.98,0.98,0.98,720
17572,2.94,0.98,1.96,3.92,721
17611,1.96,0.98,-0.98,0.00,723
17641,1.96,0.98,1.96,2.94,725
17671,0.98,0.98,0.98,0.98,727
17699,0.98,0.00,0.00,0.98,729
17730,2.94,0.98,0.00,1.96,730
17761,1.96,0.98,0.00,0.98,731
